match_id,player1,player2,elapsed_time,set_no,game_no,point_no,p1_sets,p2_sets,p1_games,p2_games,p1_score,p2_score,server,serve_no,point_victor,p1_points_won,p2_points_won,game_victor,set_victor,p1_ace,p2_ace,p1_winner,p2_winner,winner_shot_type,p1_double_fault,p2_double_fault,p1_unf_err,p2_unf_err,p1_net_pt,p2_net_pt,p1_net_pt_won,p2_net_pt_won,p1_break_pt,p2_break_pt,p1_break_pt_won,p2_break_pt_won,p1_break_pt_missed,p2_break_pt_missed,p1_distance_run,p2_distance_run,rally_count,speed_mph,serve_width,serve_depth,return_depth,match_victor
2023-wimbledon-1307,Christopher Eubanks,Christopher O'Connell,0:00:00,1,1,1,0,0,0,0,0,0,1,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.544,6.337000000000001,1,124.0,C,1.0,1.0,1
2023-wimbledon-1307,Christopher Eubanks,Christopher O'Connell,0:00:15,1,1,2,0,0,0,0,15,0,1,2,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,16.679000000000002,17.202,4,94.0,BW,0.0,1.0,1
2023-wimbledon-1307,Christopher Eubanks,Christopher O'Connell,0:00:52,1,1,3,0,0,0,0,15,15,1,2,1,1,2,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1.1440000000000001,0.899,0,nan,W,1.0,nan,1
2023-wimbledon-1307,Christopher Eubanks,Christopher O'Connell,0:01:26,1,1,4,0,0,0,0,15,30,1,2,2,2,2,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,18.514,17.567,3,99.0,BW,0.0,0.0,1
2023-wimbledon-1307,Christopher Eubanks,Christopher O'Connell,0:02:12,1,1,5,0,0,0,0,30,30,1,1,2,3,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,31.318,36.482,9,110.0,W,0.0,1.0,1
2023-wimbledon-1307,Christopher Eubanks,Christopher O'Connell,0:03:04,1,1,6,0,0,0,0,40,30,1,2,2,4,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.888,7.0760000000000005,1,104.0,BW,0.0,0.0,1
2023-wimbledon-1307,Christopher Eubanks,Christopher O'Connell,0:04:05,1,2,7,0,0,1,0,0,0,2,2,1,4,3,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,14.122,15.757,3,92.0,BC,0.0,1.0,1
2023-wimbledon-1307,Christopher Eubanks,Christopher O'Connell,0:04:45,1,2,8,0,0,1,0,0,15,2,1,1,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.614,5.343,1,110.0,C,0.0,1.0,1
2023-wimbledon-1307,Christopher Eubanks,Christopher O'Connell,0:05:06,1,2,9,0,0,1,0,0,30,2,2,2,5,4,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,5.6339999999999995,5.487,0,nan,B,1.0,0.0,1
2023-wimbledon-1307,Christopher Eubanks,Christopher O'Connell,0:05:42,1,2,10,0,0,1,0,15,30,2,1,1,5,5,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.629,6.702000000000001,1,110.0,W,1.0,1.0,1
