,0
0,-0.025360425132630773
1,-0.010965550838096909
2,-0.04138475591506182
3,-0.04051232241053507
4,-0.046120259122265514
5,-0.04048760116208258
6,-0.05158925746279136
7,-0.07179355606563764
8,-0.08467146174657073
9,-0.07975441723084818
10,-0.07416770905824638
11,-0.052213456553949746
12,-0.06931513350121761
13,-0.059658331278247496
14,-0.051346984463306
15,-0.049686007140614656
16,-0.059277134878442626
17,-0.08368892723915136
18,-0.06396805345244652
19,-0.06389919070049026
20,-0.07574052388894173
21,-0.07850233963432232
22,-0.08420649972082049
23,-0.05435320311651497
24,-0.05783461555834602
25,-0.07237516021787391
26,-0.06868158099150175
27,-0.06363039045684796
28,-0.06737326310705172
29,-0.08035919425053396
30,-0.09256757923363675
31,-0.0623174617847597
32,-0.05320375737744176
33,-0.05541303155882774
34,-0.044901053252537425
35,-0.060075942653719315
36,-0.0632329369423683
37,-0.08269354279956298
38,-0.09182237148362277
39,-0.1064230499676187
40,-0.1045927306102353
41,-0.1092258779565361
42,-0.10826170926693997
43,-0.08473786385547714
44,-0.04478758818851297
45,-0.0007640538571697958
46,0.053404309911263374
47,0.08593424991841117
48,0.09327900990224904
49,0.10598452086660812
50,0.1008014420800164
51,0.08985817451386516
52,0.07952323876035314
53,0.09549299686996579
54,0.09535574547156732
55,0.09311578412670214
56,0.09893272645232071
57,0.10522545685338248
58,0.0903551943482017
59,0.109366250973449
60,0.0743690506603365
61,0.050570954448284904
62,0.03438824902448975
63,0.02338400933649397
64,0.015901126348742346
65,0.010812765917110789
66,0.00735268082361961
67,0.004999822960054062
68,0.0033998796128333997
69,0.0023119181367251573
70,0.0015721043329723877
71,0.0010690309464208912
72,0.0007269410435660522
73,0.0004943199096248444
74,0.00033613753854486124
75,0.00022857352621049045
76,0.037424333942265756
77,0.07652762735615556
78,0.06134985804928185
79,0.05356037598063839
80,0.031574591355847594
81,0.06933886178006242
82,0.09298863732292059
83,0.0672198053457526
84,0.08259185141357424
85,0.05206119006241633
86,0.035401609242443066
87,0.02407309428486127
88,0.01636970411370565
89,0.01113139879731984
90,0.007569351182177488
91,0.005147158803880691
92,-0.009205416767905957
93,-0.004268302520947636
94,-0.004810955697212431
95,-0.007789361916064667
96,-0.005296766102923973
97,-0.0036018009499883016
98,-0.002449224645992045
99,-0.0016654727592745903
100,-0.0011325214763067211
101,-0.009166812228780517
102,-0.010603802673744694
103,-0.008528843576902536
104,-0.017251852234429575
105,-0.024508123039608032
