x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,labels
0.5,0.5,1.0,0.5555555555555556,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.04146489355516609,0.5714285714285712,0.034482758620689655,1.0,1
0.5,0.3125,1.0,0.5555555555555556,0.0,1.0,0.0,1.0,0.0,0.0,0.0028029672488229574,0.0,0.14812569045858912,0.8775510204081631,0.13793103448275862,0.0,0
0.5,0.5,0.0,0.5555555555555556,0.0,1.0,0.0,1.0,0.0,0.0,0.0035280240671597143,0.16677036166511128,0.0341969084067746,0.3877551020408161,0.06896551724137931,0.0,0
0.5,0.6875,0.0,0.5555555555555556,0.0,1.0,0.0,1.0,0.0,0.0,0.004271411824698049,0.16242669339693294,0.035201966924437875,0.7551020408163263,0.034482758620689655,0.0,1
0.5,0.5,1.0,0.5555555555555556,0.0,1.0,0.0,1.0,0.0,0.0,0.006222823625156837,0.13004504971599093,0.10143615386532215,0.510204081632653,0.06896551724137931,1.0,0
0.5,0.625,1.0,0.5555555555555556,0.0,1.0,0.0,1.0,0.0,0.0,0.007327679324306434,0.14448745866602145,0.05502072414050884,0.8979591836734695,0.034482758620689655,0.0,1
0.5,0.5,1.0,0.5555555555555556,0.0,1.0,0.0,1.0,0.0,0.0,0.010854945914639636,0.25034853041143873,0.18783796130940023,0.5714285714285712,0.1724137931034483,1.0,1
0.5,0.375,1.0,0.5555555555555556,0.0,1.0,0.0,1.0,0.0,0.0,0.014366456986981399,0.3096735911882295,0.1869741093603343,0.8367346938775508,0.20689655172413793,0.0,0
0.5,0.5,1.0,0.5555555555555556,0.0,1.0,0.0,1.0,0.0,0.0,0.018777244547757553,0.43538649430253595,0.23628012060702214,0.8979591836734695,0.24137931034482757,0.0,1
0.5,0.375,1.0,0.5555555555555556,0.0,1.0,0.0,1.0,0.0,0.0,0.020131764608925323,0.35276462387519736,0.06870945502570791,0.8571428571428572,0.034482758620689655,1.0,1
0.5,0.5,1.0,0.4444444444444445,0.0,1.0,0.0,1.0,0.0,0.0,0.020971048932700003,0.2511492862327607,0.040459835037502806,0.8163265306122449,0.06896551724137931,0.0,1
0.5,0.3125,1.0,0.4444444444444445,0.0,1.0,0.0,1.0,0.0,0.0,0.023519049481719206,0.18031408062862217,0.1341462401674544,0.7346938775510203,0.20689655172413793,0.0,1
0.5,0.125,0.0,0.4444444444444445,0.0,1.0,0.0,1.0,0.0,0.0,0.026773472919142987,0.25256069037825635,0.17287837130682526,0.48979591836734704,0.20689655172413793,1.0,1
0.5,0.0,1.0,0.4444444444444445,0.0,1.0,0.0,1.0,0.0,0.0,0.028269641146868398,0.27753966333690505,0.07647581629856051,0.7755102040816326,0.10344827586206896,1.0,0
0.5,0.1875,1.0,0.4444444444444445,0.0,1.0,0.0,1.0,0.0,0.0,0.029426762747047284,0.22464945329692487,0.05788638685616034,0.9183673469387754,0.10344827586206896,0.0,0
0.5,0.375,0.0,0.4444444444444445,0.0,1.0,0.0,1.0,0.0,0.0,0.03274148133986138,0.2269422649291994,0.17618426626575076,0.36734693877551017,0.13793103448275862,1.0,1
0.5,0.5,1.0,0.33333333333333337,0.0,0.0,0.0,1.0,0.0,0.0,0.035783205284400744,0.28571428571428575,0.1612163699944348,0.7959183673469385,0.1724137931034483,0.0,1
0.5,0.3125,0.0,0.33333333333333337,0.0,0.0,0.0,1.0,0.0,0.0,0.040298524647235476,0.4134146762987799,0.24201144603832514,0.48979591836734704,0.27586206896551724,1.0,0
0.5,0.5,0.0,0.33333333333333337,0.0,0.0,0.0,1.0,0.0,0.0,0.04514349792496799,0.4716048529259272,0.26008588681878214,0.04081632653061229,0.27586206896551724,1.0,0
0.5,0.6875,0.0,0.33333333333333337,0.0,0.0,0.0,1.0,0.0,0.0,0.05928771121105093,0.8937932782597675,0.769949580948742,0.1020408163265305,0.7241379310344828,0.0,1
0.5,0.5,1.0,0.33333333333333337,0.0,0.0,0.0,1.0,0.0,0.0,0.06659599912859866,1.0,0.39514581654774866,0.7755102040816326,0.1724137931034483,0.0,1
0.5,0.375,1.0,0.33333333333333337,0.0,0.0,0.0,1.0,0.0,0.0,0.0666973495279859,0.8196167893724149,0.0,0.7755102040816326,0.034482758620689655,,1
0.5,0.5,1.0,0.22222222222222227,0.0,1.0,0.0,1.0,0.0,0.0,0.0685574096231674,0.3524938647125921,0.09642747381448778,0.510204081632653,0.06896551724137931,1.0,1
0.5,0.3125,1.0,0.22222222222222227,0.0,1.0,0.0,1.0,0.0,0.0,0.06897902122480369,0.09061790697406473,0.017559452118513844,0.9183673469387754,0.034482758620689655,0.0,0
0.5,0.5,1.0,0.22222222222222227,0.0,1.0,0.0,1.0,0.0,0.0,0.07365492567485885,0.26457202769808624,0.25081609090380513,0.9183673469387754,0.20689655172413793,0.0,1
0.5,0.3125,1.0,0.22222222222222227,0.0,1.0,0.0,1.0,0.0,0.0,0.07785801308980557,0.3536690746949639,0.2248922261630853,0.693877551020408,0.27586206896551724,0.0,1
0.5,0.1875,0.0,0.22222222222222227,0.0,1.0,0.0,1.0,0.0,0.0,0.07973155627249896,0.4088809005334532,0.09716673173243848,0.5510204081632653,0.10344827586206896,1.0,0
