match_id,player1,player2,elapsed_time,set_no,game_no,point_no,p1_sets,p2_sets,p1_games,p2_games,p1_score,p2_score,server,serve_no,point_victor,p1_points_won,p2_points_won,game_victor,set_victor,p1_ace,p2_ace,p1_winner,p2_winner,winner_shot_type,p1_double_fault,p2_double_fault,p1_unf_err,p2_unf_err,p1_net_pt,p2_net_pt,p1_net_pt_won,p2_net_pt_won,p1_break_pt,p2_break_pt,p1_break_pt_won,p2_break_pt_won,p1_break_pt_missed,p2_break_pt_missed,p1_distance_run,p2_distance_run,rally_count,speed_mph,serve_width,serve_depth,return_depth,round_no,match_no
2023-wimbledon-1401,Carlos Alcaraz,Matteo Berrettini,0,1,1,1,0,0,0,0,Love,Love,2,2,1,1,0,0,0,False,False,False,False,,0,0,False,True,False,False,False,False,False,False,False,False,False,False,30.349,26.569,6,113,Body/Center,False,False,4,1
2023-wimbledon-1401,Carlos Alcaraz,Matteo Berrettini,47,1,1,2,0,0,0,0,15,Love,2,2,1,2,0,0,0,False,False,False,False,,0,0,False,True,False,False,False,False,False,False,False,False,False,False,9.913,6.21,2,101,Body,False,True,4,1
2023-wimbledon-1401,Carlos Alcaraz,Matteo Berrettini,87,1,1,3,0,0,0,0,30,Love,2,1,2,2,1,0,0,False,True,False,True,,0,0,False,False,False,False,False,False,False,False,False,False,False,False,1.622,0.887,1,132,Center,False,,4,1
2023-wimbledon-1401,Carlos Alcaraz,Matteo Berrettini,110,1,1,4,0,0,0,0,30,15,2,1,1,3,1,0,0,False,False,False,False,,0,0,False,True,False,False,False,False,False,False,False,False,False,False,9.115,6.962,2,128,Body/Wide,False,False,4,1
2023-wimbledon-1401,Carlos Alcaraz,Matteo Berrettini,140,1,1,5,0,0,0,0,40,15,2,1,2,3,2,0,0,False,False,False,False,,0,0,False,False,False,True,False,True,True,False,False,False,True,False,20.991,19.955,3,127,Body/Wide,True,False,4,1
2023-wimbledon-1401,Carlos Alcaraz,Matteo Berrettini,191,1,1,6,0,0,0,0,40,30,2,2,2,3,3,0,0,False,False,False,False,,0,0,True,False,False,False,False,False,True,False,False,False,True,False,16.972,17.952,5,105,Body,False,True,4,1
2023-wimbledon-1401,Carlos Alcaraz,Matteo Berrettini,239,1,1,7,0,0,0,0,40,40,2,1,2,3,4,0,0,False,False,False,False,,0,0,False,False,False,False,False,False,False,False,False,False,False,False,7.565,5.604,1,133,Center,True,True,4,1
2023-wimbledon-1401,Carlos Alcaraz,Matteo Berrettini,264,1,1,8,0,0,0,0,40,Advantage,2,1,2,3,5,2,0,False,False,False,False,,0,0,False,False,False,True,False,True,False,False,False,False,False,False,30.1,23.585,5,130,Wide,False,True,4,1
2023-wimbledon-1401,Carlos Alcaraz,Matteo Berrettini,339,1,2,9,0,0,0,1,Love,Love,1,2,2,3,6,0,0,False,False,False,True,Backhand,0,0,False,False,False,False,False,False,False,False,False,False,False,False,11.317,10.126,4,100,Body,False,True,4,1
2023-wimbledon-1401,Carlos Alcaraz,Matteo Berrettini,381,1,2,10,0,0,0,1,Love,15,1,1,1,4,6,0,0,False,False,False,False,,0,0,False,False,False,False,False,False,False,False,False,False,False,False,7.895,6.959,1,119,Body/Wide,True,False,4,1
2023-wimbledon-1401,Carlos Alcaraz,Matteo Berrettini,404,1,2,11,0,0,0,1,15,15,1,1,2,4,7,0,0,False,False,False,False,,0,0,True,False,False,False,False,False,False,False,False,False,False,False,6.492,7.728,2,128,Body/Center,False,False,4,1
2023-wimbledon-1401,Carlos Alcaraz,Matteo Berrettini,438,1,2,12,0,0,0,1,15,30,1,1,1,5,7,0,0,False,False,False,False,,0,0,False,False,False,False,False,False,False,False,False,False,False,False,3.711,6.005,1,126,Center,False,False,4,1
2023-wimbledon-1401,Carlos Alcaraz,Matteo Berrettini,464,1,2,13,0,0,0,1,30,30,1,1,1,6,7,0,0,False,False,True,False,Forehand,0,0,False,False,False,False,False,False,False,False,False,False,False,False,33.876,47.397,11,107,Wide,True,False,4,1
2023-wimbledon-1401,Carlos Alcaraz,Matteo Berrettini,512,1,2,14,0,0,0,1,40,30,1,2,1,7,7,1,0,False,False,True,False,Forehand,0,0,False,False,False,False,False,False,False,False,False,False,False,False,15.033,16.453,5,91,Body/Wide,False,False,4,1
2023-wimbledon-1401,Carlos Alcaraz,Matteo Berrettini,585,1,3,15,0,0,1,1,Love,Love,2,1,2,7,8,0,0,False,False,False,True,Forehand,0,0,False,False,False,False,False,False,False,False,False,False,False,False,11.019,6.955,3,115,Wide,True,True,4,1
2023-wimbledon-1401,Carlos Alcaraz,Matteo Berrettini,611,1,3,16,0,0,1,1,Love,15,2,2,1,8,8,0,0,False,False,False,False,,0,0,False,False,False,False,False,False,False,False,False,False,False,False,15.36,14.552,2,107,Body/Center,False,False,4,1
