x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,labels
0.5,0.5,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.000779330366286786,0.0,0.04034345729981241,0.3333333333333335,0.058823529411764705,0.0,0
0.5,0.3125,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.001574556165452382,0.0,0.03532069686598576,0.6666666666666667,0.029411764705882353,1.0,1
0.5,0.5,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0036636702009530905,0.12973770746485072,0.09278995178956854,0.6956521739130435,0.11764705882352941,0.0,0
0.5,0.3125,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.011400658615907455,0.36333083037725583,0.3436455692798021,0.8405797101449275,0.38235294117647056,1.0,1
0.5,0.5,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.011498907529606002,0.3394888791072214,0.004363817297929709,0.5797101449275364,0.029411764705882353,,1
0.5,0.625,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.012299885961622976,0.295424768908107,0.03557620542888458,0.3623188405797102,0.058823529411764705,0.0,0
0.5,0.5,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.01333187801814532,0.0660625048548717,0.04583689140213686,0.536231884057971,0.029411764705882353,1.0,1
0.5,0.625,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.01598157098650539,0.15334144636337743,0.11768858885310277,0.4782608695652175,0.1764705882352941,0.0,0
0.5,0.5,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.021202690839431763,0.30454415991300066,0.23190091646887173,0.8115942028985508,0.20588235294117646,1.0,1
0.5,0.625,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.02441735290782724,0.3792082027912275,0.1427822192935861,0.5507246376811594,0.14705882352941177,0.0,1
0.5,0.5,1.0,1.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.025293115566912137,0.3185261904145413,0.038897816746569135,0.5797101449275364,0.029411764705882353,1.0,0
